Time,Original_Signal,Cleaned_Signal,Artifacts_Detected
122.709,-0.0058823529411764,0.28265970037336696,0
122.71,0.0078431372549019,0.5077469072092347,0
122.711,0.0588235294117647,0.726286196498596,0
122.712,0.0843137254901961,0.9334384576868487,0
122.713,0.129411764705882,1.1245790224233136,0
122.714,0.149019607843137,1.2955209886862973,0
122.715,0.184313725490196,1.4427220453101572,0
122.716,0.194117647058824,1.5634582787429687,0
122.717,0.209803921568627,1.6559508293320222,0
122.718,0.194117647058824,1.7194352317224677,0
122.719,0.184313725490196,1.7541684936649617,0
122.72,0.164705882352941,1.7613748273795475,0
122.721,0.149019607843137,1.7431365772444494,0
122.722,0.129411764705882,1.7022414139852173,0
122.723,0.119607843137255,1.6419997306079415,0
122.724,0.103921568627451,1.5660472540257748,0
122.725,0.0941176470588235,1.478147389528757,0
122.726,0.0980392156862745,1.3820061317823784,0
122.727,0.0745098039215686,1.2811099520598128,0
122.728,0.0843137254901961,1.1785943333482871,0
122.729,0.0627450980392157,1.0771478904999519,0
122.73,0.0745098039215686,0.9789544020554396,0
122.731,0.0627450980392157,0.8856725571392029,0
122.732,0.0745098039215686,0.7984507556876682,0
122.733,0.0686274509803922,0.7179719871436697,0
122.734,0.0843137254901961,0.6445218635868868,0
122.735,0.0686274509803922,0.5780715635622505,0
122.736,0.0686274509803922,0.5183669801851732,0
122.737,0.0588235294117647,0.46501581186206375,0
122.738,0.0686274509803922,0.41756546319912,0
122.739,0.0529411764705882,0.3755660839652961,0
122.74,0.0490196078431373,0.33861467579829635,0
122.741,0.0333333333333333,0.3063779606821847,0
122.742,0.0294117647058824,0.27859359694322,0
122.743,0.0176470588235294,0.25505109921940994,0
122.744,0.0235294117647059,0.23555517792662437,0
122.745,0.0176470588235294,0.2198750728687989,0
122.746,0.0137254901960784,0.20768399469314563,0
122.747,0.0235294117647059,0.19849333378944972,0
122.748,0.0039215686274509,0.1915871268010264,0
122.749,-0.0058823529411764,0.18596347232944282,0
122.75,-0.0156862745098039,0.18029096839069578,0
122.751,-0.0117647058823529,0.17288928872042153,0
122.752,-0.0274509803921569,0.16174305703556166,0
122.753,-0.0215686274509804,0.1445567817425236,0
122.754,-0.0274509803921569,0.11885572386131318,0
122.755,-0.0156862745098039,0.0821333269106635,0
122.756,-0.0274509803921569,0.03204044319100511,0
122.757,-0.0156862745098039,-0.033394635483701154,0
122.758,-0.0274509803921569,-0.11553299027513511,0
122.759,0.0176470588235294,-0.2149030695220449,0
122.76,0.113725490196078,-0.3310203578925288,0
122.761,0.258823529411765,-0.4622833769041706,0
122.762,0.335294117647059,-0.6059795671877928,0
122.763,0.0627450980392157,-0.758423311643319,0
122.764,-0.382352941176471,-0.9152236117457648,0
122.765,-0.482352941176471,-1.0716450234155481,0
122.766,-0.32156862745098,-1.2229966827424152,0
122.767,-0.182352941176471,-1.364976906152562,0
122.768,-0.141176470588235,-1.4939194242323135,0
122.769,-0.137254901960784,-1.606920084456448,0
122.77,-0.127450980392157,-1.7018526732805401,0
122.771,-0.131372549019608,-1.7772998612657338,0
122.772,-0.12156862745098,-1.8324307698566171,0
122.773,-0.12156862745098,-1.866855093767642,0
122.774,-0.111764705882353,-1.880478969970418,0
122.775,-0.12156862745098,-1.8733817958184609,0
122.776,-0.111764705882353,-1.845726819547145,0
122.777,-0.12156862745098,-1.7977120881952573,0
122.778,-0.111764705882353,-1.7295627056373206,0
122.779,-0.12156862745098,-1.6415606778201302,0
122.78,-0.117647058823529,-1.5341050529602631,0
122.781,-0.127450980392157,-1.4077925889217178,0
122.782,-0.117647058823529,-1.263507746247449,0
122.783,-0.12156862745098,-1.1025103809473504,0
122.784,-0.105882352941176,-0.9265100277159186,0
122.785,-0.111764705882353,-0.7377169533134915,0
122.786,-0.0862745098039216,-0.5388620061846002,0
122.787,-0.0823529411764706,-0.3331795567619895,0
122.788,-0.0470588235294118,-0.12435049055598994,0
122.789,-0.0313725490196078,0.08359473641085705,0
122.79,0.0039215686274509,0.2864096698172767,0
122.791,0.0294117647058824,0.4797954199853699,0
122.792,0.0745098039215686,0.6595844765404246,0
122.793,0.0980392156862745,0.8219324221614953,0
122.794,0.133333333333333,0.963503405751917,0
122.795,0.149019607843137,1.0816346738959235,0
122.796,0.164705882352941,1.1744664266315132,0
122.797,0.174509803921569,1.2410258242701795,0
122.798,0.154901960784314,1.2812579540570284,0
122.799,0.133333333333333,1.2960016016296456,0
122.8,0.113725490196078,1.2869131404035978,0
122.801,0.0980392156862745,1.2563468384852514,0
122.802,0.0784313725490196,1.207203453588921,0
122.803,0.0686274509803922,1.1427606575079448,0
122.804,0.0490196078431373,1.06649873344854,0
122.805,0.0490196078431373,0.9819335912702738,0
122.806,0.0333333333333333,0.8924669246819619,0
122.807,0.0431372549019608,0.8012606637329861,0
122.808,0.0333333333333333,0.7111400560674893,0
122.809,0.0431372549019608,0.6245270035227996,0
122.81,0.0392156862745098,0.5434028971717675,0
122.811,0.0529411764705882,0.4692982553960236,0
122.812,0.0588235294117647,0.40330501881930664,0
122.813,0.0529411764705882,0.34610644042259825,0
122.814,0.0431372549019608,0.298019207727731,0
122.815,0.0588235294117647,0.2590427071581553,0
122.816,0.0490196078431373,0.22891092109933045,0
122.817,0.0431372549019608,0.20714306152971212,0
122.818,0.0235294117647059,0.1930896825835917,0
122.819,0.0235294117647059,0.18597177408664137,0
122.82,0.0176470588235294,0.18491108412496465,0
122.821,0.0235294117647059,0.18895038935408653,0
122.822,0.0176470588235294,0.19706264516587246,0
122.823,0.0137254901960784,0.20814829921601924,0
122.824,0.0235294117647059,0.22102098595113764,0
122.825,0.0078431372549019,0.23438350592003665,0
122.826,-0.0019607843137254,0.24679829272389242,0
122.827,-0.0058823529411764,0.2566591129098364,0
122.828,-0.0019607843137254,0.2621729299250705,0
122.829,-0.0156862745098039,0.26136199487534567,0
122.83,-0.0058823529411764,0.252095842118731,0
122.831,-0.0215686274509804,0.23216087005837735,0
122.832,-0.0117647058823529,0.19937164620698783,0
122.833,-0.0215686274509804,0.15172307216773473,0
122.834,-0.0058823529411764,0.08757623701775433,0
122.835,-0.0156862745098039,0.00586352983587161,0
122.836,0.0176470588235294,-0.09370902481607617,0
122.837,0.0941176470588235,-0.2104913037339913,0
122.838,0.233333333333333,-0.3427845939398258,0
122.839,0.345098039215686,-0.4878372656668037,0
122.84,0.143137254901961,-0.6419655093013241,0
122.841,-0.327450980392157,-0.8008016189134245,0
122.842,-0.47843137254902,-0.9596393668518179,0
122.843,-0.347058823529412,-1.113815312303672,0
122.844,-0.182352941176471,-1.2590533637240147,0
122.845,-0.131372549019608,-1.3917147861570125,0
